CRA_1_Zygomatic
CRA_2_Temporal
CRA_3_Occipital
CRA_4_Nasal
CRA_5_Petrosal
CRA_6_Mastoid
CRA_7_Frontal
CRA_8_Parietal
CRA_indet
PHA_proximal
PHA_middle
PHA_distal
PHA_indet
VERT_atlas
VERT_axis
VERT_cervical
VERT_thoracic
VERT_lumbar
VERT_caudal
VERT_indet
INNO_1_Ilium
INNO_2_Ischium
INNO_3_Pubis
INNO_indet
CARP_Sesamoid
CARP_Magnum
CARP_Unciform
CARP_Scaphoid
CARP_Lunate
CARP_Cuneiform
CARP_Pisiform
CARP_Pyram.
CARP_indet
TARS_Calcaneum
TARS_Astragalus
TARS_Naviculocuboid
TARS_Ext._Lat._Cuneiform
TARS_Lat._Mall.
TARS_Grand_cuneiform
TARS_Small_cuneiform
TARS_indet
CARP_TARS
TTH_IND
TTH_UpI1
TTH_UpI2
TTH_UpI3
TTH_I_IND
TTH_Up_dP
TTH_Up_dP1
TTH_Up_dP2
TTH_Up_dP3
TTH_Up_dP4
TTH_P_IND
TTH_UpP1
TTH_UpP2
TTH_UpP3
TTH_UpP4
TTH_Up_M_IND
TTH_UpM1
TTH_UpM2
TTH_UpM3
TTH_Canine
TTH_P_or_M
TTH_LoI1
TTH_LoI2
TTH_LoI3
TTH_LodP
TTH_LodP1
TTH_LodP2
TTH_LodP3
TTH_LodP4
TTH_LoP1
TTH_LoP2
TTH_LoP3
TTH_LoP4
TTH_Lo_M_IND
TTH_LoM1
TTH_LoM2
TTH_LoM3
N/A
MTC_I
MTC_II
MTC_III
MTC_IV
MTC_V
MTC_indet
MTC_N/A
MTT_I
MTT_II
MTT_III
MTT_IV
MTT_V
MTT_N/A
MTT_indet
