Complete
Almost_complete
Fragment
Splinter
Articular_surface
LB_1_Proximal_epiph
LB_2_Proximal_metadiaph
LB_3_Shaft
LB_4_Distal_metadiaph
LB_5_Distal_epiph
MT_PH_1_proximal
MT_PH_2_shaft
MT_PH_3_distal
RIB_1_articular
RIB_2_central
RIB_3_distal
VERT_1_body
VERT_2_transversep
VERT_3_spinusp
MAN_1_corpus
MAN_2_ramus
MAN_3_alveolar
MAN_4_2proc
MAN_5_coronoidp
MAN_6_condyle
MAN_7_notch
MAN_8_masseter
MAN_9_angle
MAN_10_tooth_row
MAN_11_mentalfor
MAN_12_diastema
SCA_1_body
SCA_2_glenoidfossa
SCA_3_spine
TTH_crownfrag
TTH_rootfrag
INNO_acetabulum
Lep_MAN_C
Lep_MAN_IP
Lep_MAN_MBI
Lep_MAN_MB
Lep_MAN_MBB
Lep_MAN_CP
Lep_CRA_C
Lep_CRA_IB
Lep_CRA_IBM
Lep_CRA_M
Lep_CRA_ZA
Lep_CRA_NC
Lep_SCA_C
Lep_SCA_GC
Lep_SCA_GCN
Lep_SCA_NF
Lep_SCA_F
Lep_INNO_C
Lep_INNO_A
Lep_INNO_AIS
Lep_INNO_AISIL
Lep_INNO_AIL
Lep_INNO_IS
Lep_INNO_IL
Lep_LB_C
Lep_LB_PE
Lep_LB_PES
Lep_LB_S
Lep_LB_SDE
Lep_LB_DE
